trial,model,decision,score,altscore,rt,distance,countA,countB,maxcount,maxspeed_front,maxspeed_back,correct_model,acc
ABAABBBA,likelihood_ratio,N,,,,4,4,4,4,0.75,0.75,snr,0
ABAABBBA,likelihood_ratio,N,,,,4,4,4,4,0.75,0.75,incremental_lba,0
ABAABBBA,likelihood_ratio,N,,,,4,4,4,4,0.75,0.75,urgency_gating,-1
ABAABBBA,likelihood_ratio,N,,,,4,4,4,4,0.75,0.75,blcba,0
ABAABBBA,likelihood_ratio,N,,,,4,4,4,4,0.75,0.75,relcount,-1
ABAABBBA,likelihood_ratio,N,,,,4,4,4,4,0.75,0.75,abscount,-1
ABAABBBA,urgency_gating,N,,,,4,4,4,4,0.75,0.75,information,-1
ABAABBBA,urgency_gating,N,,,,4,4,4,4,0.75,0.75,naive_probability,0
ABAABBBA,urgency_gating,N,,,,4,4,4,4,0.75,0.75,snr,0
ABAABBBA,urgency_gating,N,,,,4,4,4,4,0.75,0.75,incremental_lba,0
ABAABBBA,urgency_gating,N,,,,4,4,4,4,0.75,0.75,likelihood_ratio,-1
ABAABBBA,urgency_gating,N,,,,4,4,4,4,0.75,0.75,relcount,-1
ABAABBBA,urgency_gating,N,,,,4,4,4,4,0.75,0.75,blcba,0
ABAABBBA,urgency_gating,N,,,,4,4,4,4,0.75,0.75,abscount,-1
ABAABBBA,snr,B,2.0,0.0,2,4,4,4,4,0.75,0.75,information,0
ABAABBBA,snr,B,2.0,0.0,2,4,4,4,4,0.75,0.75,naive_probability,0
ABAABBBA,snr,B,2.0,0.0,2,4,4,4,4,0.75,0.75,incremental_lba,0
ABAABBBA,snr,B,2.0,0.0,2,4,4,4,4,0.75,0.75,likelihood_ratio,0
ABAABBBA,snr,B,2.0,0.0,2,4,4,4,4,0.75,0.75,urgency_gating,0
ABAABBBA,snr,B,2.0,0.0,2,4,4,4,4,0.75,0.75,blcba,1
ABAABBBA,snr,B,2.0,0.0,2,4,4,4,4,0.75,0.75,relcount,0
ABAABBBA,snr,B,2.0,0.0,2,4,4,4,4,0.75,0.75,abscount,0
ABAABBBA,relcount,N,,,,4,4,4,4,0.75,0.75,information,-1
ABAABBBA,relcount,N,,,,4,4,4,4,0.75,0.75,naive_probability,0
ABAABBBA,relcount,N,,,,4,4,4,4,0.75,0.75,snr,0
ABAABBBA,relcount,N,,,,4,4,4,4,0.75,0.75,incremental_lba,0
ABAABBBA,relcount,N,,,,4,4,4,4,0.75,0.75,likelihood_ratio,-1
ABAABBBA,relcount,N,,,,4,4,4,4,0.75,0.75,urgency_gating,-1
ABAABBBA,relcount,N,,,,4,4,4,4,0.75,0.75,blcba,0
ABAABBBA,relcount,N,,,,4,4,4,4,0.75,0.75,abscount,-1
ABAABBBA,blcba,B,1.98,-0.98,1,4,4,4,4,0.75,0.75,information,0
ABAABBBA,blcba,B,1.98,-0.98,1,4,4,4,4,0.75,0.75,naive_probability,0
ABAABBBA,blcba,B,1.98,-0.98,1,4,4,4,4,0.75,0.75,snr,1
ABAABBBA,blcba,B,1.98,-0.98,1,4,4,4,4,0.75,0.75,incremental_lba,0
ABAABBBA,blcba,B,1.98,-0.98,1,4,4,4,4,0.75,0.75,likelihood_ratio,0
ABAABBBA,blcba,B,1.98,-0.98,1,4,4,4,4,0.75,0.75,urgency_gating,0
ABAABBBA,blcba,B,1.98,-0.98,1,4,4,4,4,0.75,0.75,relcount,0
ABAABBBA,blcba,B,1.98,-0.98,1,4,4,4,4,0.75,0.75,abscount,0
ABAABBBA,abscount,N,,,,4,4,4,4,0.75,0.75,information,-1
ABAABBBA,abscount,N,,,,4,4,4,4,0.75,0.75,naive_probability,0
ABAABBBA,abscount,N,,,,4,4,4,4,0.75,0.75,snr,0
ABAABBBA,abscount,N,,,,4,4,4,4,0.75,0.75,incremental_lba,0
ABAABBBA,abscount,N,,,,4,4,4,4,0.75,0.75,likelihood_ratio,-1
ABAABBBA,abscount,N,,,,4,4,4,4,0.75,0.75,urgency_gating,-1
ABAABBBA,abscount,N,,,,4,4,4,4,0.75,0.75,blcba,0
ABAABBBA,abscount,N,,,,4,4,4,4,0.75,0.75,relcount,-1
ABABABBB,information,N,,,,1,3,5,5,0.5,0.75,naive_probability,0
ABABABBB,information,N,,,,1,3,5,5,0.5,0.75,snr,0
ABABABBB,information,N,,,,1,3,5,5,0.5,0.75,incremental_lba,0
ABABABBB,information,N,,,,1,3,5,5,0.5,0.75,likelihood_ratio,-1
ABABABBB,information,N,,,,1,3,5,5,0.5,0.75,urgency_gating,-1
ABABABBB,information,N,,,,1,3,5,5,0.5,0.75,blcba,0
ABABABBB,information,N,,,,1,3,5,5,0.5,0.75,relcount,-1
ABABABBB,information,N,,,,1,3,5,5,0.5,0.75,abscount,-1
ABABABBB,naive_probability,B,0.75,0,6,1,3,5,5,0.5,0.75,information,0
ABABABBB,naive_probability,B,0.75,0,6,1,3,5,5,0.5,0.75,snr,1
ABABABBB,naive_probability,B,0.75,0,6,1,3,5,5,0.5,0.75,incremental_lba,0
ABABABBB,naive_probability,B,0.75,0,6,1,3,5,5,0.5,0.75,likelihood_ratio,0
ABABABBB,naive_probability,B,0.75,0,6,1,3,5,5,0.5,0.75,urgency_gating,0
ABABABBB,naive_probability,B,0.75,0,6,1,3,5,5,0.5,0.75,blcba,1
ABABABBB,naive_probability,B,0.75,0,6,1,3,5,5,0.5,0.75,relcount,0
ABABABBB,naive_probability,B,0.75,0,6,1,3,5,5,0.5,0.75,abscount,0
ABABABBB,incremental_lba,A,0.8,0.1,7,1,3,5,5,0.5,0.75,information,0
ABABABBB,incremental_lba,A,0.8,0.1,7,1,3,5,5,0.5,0.75,naive_probability,0
ABABABBB,incremental_lba,A,0.8,0.1,7,1,3,5,5,0.5,0.75,snr,0
ABABABBB,incremental_lba,A,0.8,0.1,7,1,3,5,5,0.5,0.75,likelihood_ratio,0
ABABABBB,incremental_lba,A,0.8,0.1,7,1,3,5,5,0.5,0.75,urgency_gating,0
ABABABBB,incremental_lba,A,0.8,0.1,7,1,3,5,5,0.5,0.75,blcba,0
ABABABBB,incremental_lba,A,0.8,0.1,7,1,3,5,5,0.5,0.75,relcount,0
ABABABBB,incremental_lba,A,0.8,0.1,7,1,3,5,5,0.5,0.75,abscount,0
ABABABBB,likelihood_ratio,N,,,,1,3,5,5,0.5,0.75,information,-1
ABABABBB,likelihood_ratio,N,,,,1,3,5,5,0.5,0.75,naive_probability,0
ABABABBB,likelihood_ratio,N,,,,1,3,5,5,0.5,0.75,snr,0
ABABABBB,likelihood_ratio,N,,,,1,3,5,5,0.5,0.75,incremental_lba,0
ABABABBB,likelihood_ratio,N,,,,1,3,5,5,0.5,0.75,urgency_gating,-1
ABABABBB,likelihood_ratio,N,,,,1,3,5,5,0.5,0.75,blcba,0
ABABABBB,likelihood_ratio,N,,,,1,3,5,5,0.5,0.75,relcount,-1
ABABABBB,likelihood_ratio,N,,,,1,3,5,5,0.5,0.75,abscount,-1
ABABABBB,urgency_gating,N,,,,1,3,5,5,0.5,0.75,information,-1
ABABABBB,urgency_gating,N,,,,1,3,5,5,0.5,0.75,naive_probability,0
ABABABBB,urgency_gating,N,,,,1,3,5,5,0.5,0.75,snr,0
ABABABBB,urgency_gating,N,,,,1,3,5,5,0.5,0.75,incremental_lba,0
ABABABBB,urgency_gating,N,,,,1,3,5,5,0.5,0.75,likelihood_ratio,-1
ABABABBB,urgency_gating,N,,,,1,3,5,5,0.5,0.75,relcount,-1
ABABABBB,urgency_gating,N,,,,1,3,5,5,0.5,0.75,blcba,0
ABABABBB,urgency_gating,N,,,,1,3,5,5,0.5,0.75,abscount,-1
ABABABBB,snr,B,2.0,0.0,2,1,3,5,5,0.5,0.75,information,0
ABABABBB,snr,B,2.0,0.0,2,1,3,5,5,0.5,0.75,naive_probability,1
ABABABBB,snr,B,2.0,0.0,2,1,3,5,5,0.5,0.75,incremental_lba,0
ABABABBB,snr,B,2.0,0.0,2,1,3,5,5,0.5,0.75,likelihood_ratio,0
ABABABBB,snr,B,2.0,0.0,2,1,3,5,5,0.5,0.75,urgency_gating,0
ABABABBB,snr,B,2.0,0.0,2,1,3,5,5,0.5,0.75,blcba,1
ABABABBB,snr,B,2.0,0.0,2,1,3,5,5,0.5,0.75,relcount,0
ABABABBB,snr,B,2.0,0.0,2,1,3,5,5,0.5,0.75,abscount,0
ABABABBB,relcount,N,,,,1,3,5,5,0.5,0.75,information,-1
ABABABBB,relcount,N,,,,1,3,5,5,0.5,0.75,naive_probability,0
ABABABBB,relcount,N,,,,1,3,5,5,0.5,0.75,snr,0
ABABABBB,relcount,N,,,,1,3,5,5,0.5,0.75,incremental_lba,0
ABABABBB,relcount,N,,,,1,3,5,5,0.5,0.75,likelihood_ratio,-1
ABABABBB,relcount,N,,,,1,3,5,5,0.5,0.75,urgency_gating,-1
ABABABBB,relcount,N,,,,1,3,5,5,0.5,0.75,blcba,0
ABABABBB,relcount,N,,,,1,3,5,5,0.5,0.75,abscount,-1
ABABABBB,blcba,B,1.98,-0.98,1,1,3,5,5,0.5,0.75,information,0
ABABABBB,blcba,B,1.98,-0.98,1,1,3,5,5,0.5,0.75,naive_probability,1
ABABABBB,blcba,B,1.98,-0.98,1,1,3,5,5,0.5,0.75,snr,1
ABABABBB,blcba,B,1.98,-0.98,1,1,3,5,5,0.5,0.75,incremental_lba,0
ABABABBB,blcba,B,1.98,-0.98,1,1,3,5,5,0.5,0.75,likelihood_ratio,0
ABABABBB,blcba,B,1.98,-0.98,1,1,3,5,5,0.5,0.75,urgency_gating,0
ABABABBB,blcba,B,1.98,-0.98,1,1,3,5,5,0.5,0.75,relcount,0
ABABABBB,blcba,B,1.98,-0.98,1,1,3,5,5,0.5,0.75,abscount,0
ABABABBB,abscount,N,,,,1,3,5,5,0.5,0.75,information,-1
ABABABBB,abscount,N,,,,1,3,5,5,0.5,0.75,naive_probability,0
ABABABBB,abscount,N,,,,1,3,5,5,0.5,0.75,snr,0
ABABABBB,abscount,N,,,,1,3,5,5,0.5,0.75,incremental_lba,0
ABABABBB,abscount,N,,,,1,3,5,5,0.5,0.75,likelihood_ratio,-1
ABABABBB,abscount,N,,,,1,3,5,5,0.5,0.75,urgency_gating,-1
ABABABBB,abscount,N,,,,1,3,5,5,0.5,0.75,blcba,0
ABABABBB,abscount,N,,,,1,3,5,5,0.5,0.75,relcount,-1
ABABABBA,information,N,,,,2,4,4,4,0.5,0.5,naive_probability,0
ABABABBA,information,N,,,,2,4,4,4,0.5,0.5,snr,0
ABABABBA,information,N,,,,2,4,4,4,0.5,0.5,incremental_lba,0
ABABABBA,information,N,,,,2,4,4,4,0.5,0.5,likelihood_ratio,-1
ABABABBA,information,N,,,,2,4,4,4,0.5,0.5,urgency_gating,-1
ABABABBA,information,N,,,,2,4,4,4,0.5,0.5,blcba,0
ABABABBA,information,N,,,,2,4,4,4,0.5,0.5,relcount,-1
ABABABBA,information,N,,,,2,4,4,4,0.5,0.5,abscount,-1
ABABABBA,naive_probability,B,0.75,0,6,2,4,4,4,0.5,0.5,information,0
ABABABBA,naive_probability,B,0.75,0,6,2,4,4,4,0.5,0.5,snr,1
ABABABBA,naive_probability,B,0.75,0,6,2,4,4,4,0.5,0.5,incremental_lba,0
ABABABBA,naive_probability,B,0.75,0,6,2,4,4,4,0.5,0.5,likelihood_ratio,0
ABABABBA,naive_probability,B,0.75,0,6,2,4,4,4,0.5,0.5,urgency_gating,0
ABABABBA,naive_probability,B,0.75,0,6,2,4,4,4,0.5,0.5,blcba,1
ABABABBA,naive_probability,B,0.75,0,6,2,4,4,4,0.5,0.5,relcount,0
ABABABBA,naive_probability,B,0.75,0,6,2,4,4,4,0.5,0.5,abscount,0
ABABABBA,incremental_lba,A,0.8,0.1,7,2,4,4,4,0.5,0.5,information,0
ABABABBA,incremental_lba,A,0.8,0.1,7,2,4,4,4,0.5,0.5,naive_probability,0
