trial,model,decision,score,altscore,rt,distance,countA,countB,maxspeed_front,maxspeed_back
ABBBBBABBBBABB,naive_probability,B,0.75,0,2,6,3,11,0.7142857142857143,0.8571428571428571
ABBBBBABBBBABA,information,B,0.67988480751028646,0.13597696150205729,6,7,4,10,0.7142857142857143,0.7142857142857143
ABBBBBABBBBABA,relcount,B,0.6666666666666667,0.3333333333333333,3,7,4,10,0.7142857142857143,0.7142857142857143
ABBBBBABBBBABA,abscount,B,0.7142857142857143,0.21428571428571427,13,7,4,10,0.7142857142857143,0.7142857142857143
ABBBBBABBBBABA,likelihood_ratio,B,-1.380211241711606,0,5,7,4,10,0.7142857142857143,0.7142857142857143
ABBBBBABBBBABA,naive_probability,B,0.75,0,2,7,4,10,0.7142857142857143,0.7142857142857143
ABAAABBABBBABA,information,A,0.67988480751028646,0.40793088450617188,8,6,7,7,0.5714285714285714,0.5714285714285714
ABAAABBABBBABA,relcount,A,0.6666666666666666,0.33333333333333337,3,6,7,7,0.5714285714285714,0.5714285714285714
ABAAABBABBBABA,abscount,N,,,,6,7,7,0.5714285714285714,0.5714285714285714
ABAAABBABBBABA,likelihood_ratio,A,1.380211241711606,0,5,6,7,7,0.5714285714285714,0.5714285714285714
ABAAABBABBBABA,naive_probability,A,0.75,0,3,6,7,7,0.5714285714285714,0.5714285714285714
ABBBABBBAABBAA,information,B,0.67988480751028646,0.27195392300411458,7,5,6,8,0.7142857142857143,0.5714285714285714
ABBBABBBAABBAA,relcount,B,0.6666666666666667,0.3333333333333333,3,5,6,8,0.7142857142857143,0.5714285714285714
ABBBABBBAABBAA,abscount,N,,,,5,6,8,0.7142857142857143,0.5714285714285714
ABBBABBBAABBAA,likelihood_ratio,B,-1.6532125137753435,0,7,5,6,8,0.7142857142857143,0.5714285714285714
ABBBABBBAABBAA,naive_probability,B,0.75,0,2,5,6,8,0.7142857142857143,0.5714285714285714
ABBBABBBABAAAB,information,B,0.67988480751028646,0.27195392300411458,7,3,6,8,0.7142857142857143,0.5714285714285714
ABBBABBBABAAAB,relcount,B,0.6666666666666667,0.3333333333333333,3,3,6,8,0.7142857142857143,0.5714285714285714
ABBBABBBABAAAB,abscount,N,,,,3,6,8,0.7142857142857143,0.5714285714285714
ABBBABBBABAAAB,likelihood_ratio,B,-1.6532125137753435,0,7,3,6,8,0.7142857142857143,0.5714285714285714
ABBBABBBABAAAB,naive_probability,B,0.75,0,2,3,6,8,0.7142857142857143,0.5714285714285714
ABAABAAAABAABA,information,A,0.67988480751028646,0.27195392300411458,7,7,10,4,0.7142857142857143,0.7142857142857143
ABAABAAAABAABA,relcount,A,0.6666666666666666,0.33333333333333337,3,7,10,4,0.7142857142857143,0.7142857142857143
ABAABAAAABAABA,abscount,A,0.7142857142857143,0.2857142857142857,14,7,10,4,0.7142857142857143,0.7142857142857143
ABAABAAAABAABA,likelihood_ratio,A,1.6532125137753435,0,7,7,10,4,0.7142857142857143,0.7142857142857143
ABAABAAAABAABA,naive_probability,A,0.75,0,3,7,10,4,0.7142857142857143,0.7142857142857143
ABBBABBBABAAAA,information,B,0.67988480751028646,0.27195392300411458,7,4,7,7,0.7142857142857143,0.7142857142857143
ABBBABBBABAAAA,relcount,B,0.6666666666666667,0.3333333333333333,3,4,7,7,0.7142857142857143,0.7142857142857143
ABBBABBBABAAAA,abscount,N,,,,4,7,7,0.7142857142857143,0.7142857142857143
ABBBABBBABAAAA,likelihood_ratio,B,-1.6532125137753435,0,7,4,7,7,0.7142857142857143,0.7142857142857143
ABBBABBBABAAAA,naive_probability,B,0.75,0,2,4,7,7,0.7142857142857143,0.7142857142857143
AAAAAAAAABBAAB,information,A,0.67988480751028646,0.0,5,6,11,3,1.0,0.5714285714285714
AAAAAAAAABBAAB,relcount,A,0.9,0.09999999999999998,10,6,11,3,1.0,0.5714285714285714
AAAAAAAAABBAAB,abscount,A,0.7142857142857143,0.14285714285714285,12,6,11,3,1.0,0.5714285714285714
AAAAAAAAABBAAB,likelihood_ratio,A,1.6074550232146685,0,11,6,11,3,1.0,0.5714285714285714
AAAAAAAAABBAAB,naive_probability,A,0.75,0,1,6,11,3,1.0,0.5714285714285714
