trial,model,decision,score,altscore,rt,distance,countA,countB,maxcount,maxspeed_front,maxspeed_back
ABBBBBBB,naive,B,0.75,0,2,3,1,7,7,0.75,1.0
ABBBBBBB,blca_k0_wi0.06_leak0.2_beta0.1,N,,,,3,1,7,7,0.75,1.0
ABBBBBBB,blca_k0_wi0.25_leak0_beta0.1,B,0.6840225,0.182275,4,3,1,7,7,0.75,1.0
ABBBBBBB,blca_k0_wi0.06_leak0.2_beta0,N,,,,3,1,7,7,0.75,1.0
ABBBBBBB,lba_k0_d0.25,B,0.75,0.25,4,3,1,7,7,0.75,1.0
ABBBBBBB,snr_meandefault,B,0.707106781187,0.125,2,3,1,7,7,0.75,1.0
ABBBBBBB,snr,B,0.707106781187,0.0,2,3,1,7,7,0.75,1.0
ABBBBBBB,blca_k0_wi0.25_leak0.2_beta0.1,B,0.6840225,0.182275,4,3,1,7,7,0.75,1.0
ABBBBBBB,lba_k0_d0.06,N,,,,3,1,7,7,0.75,1.0
ABBBBBBB,relcount,B,0.666666666667,0.333333333333,3,3,1,7,7,0.75,1.0
ABBBBBBB,lba_k0_d0.125,B,0.75,0.125,7,3,1,7,7,0.75,1.0
ABBBBBBB,blca_k0_wi0.125_leak0.2_beta0.1,B,0.715009061261,0,7,3,1,7,7,0.75,1.0
ABBBBBBB,abscount,B,0.75,0.125,7,3,1,7,7,0.75,1.0
ABBBBBBB,lba_k0_d0.5,B,1.0,0.5,3,3,1,7,7,0.75,1.0
ABBBBBBB,blca_k0_wi0.125_leak0.2_beta0,B,0.75,0.125,7,3,1,7,7,0.75,1.0
AABBBBBB,information,B,0.75,0.375,6,4,0,8,8,1.0,1.0
AABBBBBB,blca_k0_wi0.25_leak0.2_beta0,B,0.75,0.5,5,4,0,8,8,1.0,1.0
AABBBBBB,blca_k0_wi0.06_leak0_beta0.1,N,,,,4,0,8,8,1.0,1.0
AABBBBBB,likelihood_ratio,N,,,,4,0,8,8,1.0,1.0
AABBBBBB,blca_k0_wi0.125_leak0_beta0.1,N,,,,4,0,8,8,1.0,1.0
AABBBBBB,naive,A,0.75,0,1,4,0,8,8,1.0,1.0
AABBBBBB,blca_k0_wi0.06_leak0.2_beta0.1,N,,,,4,0,8,8,1.0,1.0
AABBBBBB,blca_k0_wi0.25_leak0_beta0.1,B,0.8201202,0.378998,6,4,0,8,8,1.0,1.0
AABBBBBB,blca_k0_wi0.06_leak0.2_beta0,N,,,,4,0,8,8,1.0,1.0
AABBBBBB,lba_k0_d0.25,B,0.75,0.5,5,4,0,8,8,1.0,1.0
AABBBBBB,snr_meandefault,B,1.44337567297,0.25,4,4,0,8,8,1.0,1.0
AABBBBBB,snr,B,1.44337567297,0.0,4,4,0,8,8,1.0,1.0
AABBBBBB,blca_k0_wi0.25_leak0.2_beta0.1,B,0.8201202,0.378998,6,4,0,8,8,1.0,1.0
AABBBBBB,lba_k0_d0.06,N,,,,4,0,8,8,1.0,1.0
AABBBBBB,relcount,A,0.666666666667,0.333333333333,3,4,0,8,8,1.0,1.0
AABBBBBB,lba_k0_d0.125,B,0.75,0.25,8,4,0,8,8,1.0,1.0
AABBBBBB,blca_k0_wi0.125_leak0.2_beta0.1,N,,,,4,0,8,8,1.0,1.0
AABBBBBB,abscount,B,0.75,0.25,8,4,0,8,8,1.0,1.0
AABBBBBB,lba_k0_d0.5,A,1.0,0.0,2,4,0,8,8,1.0,1.0
AABBBBBB,blca_k0_wi0.125_leak0.2_beta0,B,0.75,0.25,8,4,0,8,8,1.0,1.0
BAAAAAAA,information,A,0.75,0.1875,5,3,7,1,7,0.75,1.0
BAAAAAAA,blca_k0_wi0.25_leak0.2_beta0,A,0.75,0.25,4,3,7,1,7,0.75,1.0
BAAAAAAA,blca_k0_wi0.06_leak0_beta0.1,N,,,,3,7,1,7,0.75,1.0
BAAAAAAA,likelihood_ratio,A,1.38021124171,0,5,3,7,1,7,0.75,1.0
BAAAAAAA,blca_k0_wi0.125_leak0_beta0.1,A,0.710237151125,0,7,3,7,1,7,0.75,1.0
BAAAAAAA,naive,A,0.75,0,2,3,7,1,7,0.75,1.0
BAAAAAAA,blca_k0_wi0.06_leak0.2_beta0.1,N,,,,3,7,1,7,0.75,1.0
BAAAAAAA,blca_k0_wi0.25_leak0_beta0.1,A,0.6840225,0.11387275,4,3,7,1,7,0.75,1.0
BAAAAAAA,blca_k0_wi0.06_leak0.2_beta0,N,,,,3,7,1,7,0.75,1.0
BAAAAAAA,lba_k0_d0.25,A,0.75,0.25,4,3,7,1,7,0.75,1.0
BAAAAAAA,snr_meandefault,A,0.707106781187,0.125,2,3,7,1,7,0.75,1.0
BAAAAAAA,snr,A,0.707106781187,0.0,2,3,7,1,7,0.75,1.0
BAAAAAAA,blca_k0_wi0.25_leak0.2_beta0.1,A,0.6840225,0.11387275,4,3,7,1,7,0.75,1.0
BAAAAAAA,lba_k0_d0.06,N,,,,3,7,1,7,0.75,1.0
BAAAAAAA,relcount,A,0.666666666667,0.333333333333,3,3,7,1,7,0.75,1.0
BAAAAAAA,lba_k0_d0.125,A,0.75,0.125,7,3,7,1,7,0.75,1.0
BAAAAAAA,blca_k0_wi0.125_leak0.2_beta0.1,A,0.710237151125,0,7,3,7,1,7,0.75,1.0
BAAAAAAA,abscount,A,0.75,0.125,7,3,7,1,7,0.75,1.0
BAAAAAAA,lba_k0_d0.5,A,1.0,0.5,3,3,7,1,7,0.75,1.0
BAAAAAAA,blca_k0_wi0.125_leak0.2_beta0,A,0.75,0.125,7,3,7,1,7,0.75,1.0
BBAAAAAA,information,A,0.75,0.375,6,4,6,2,6,0.75,1.0
BBAAAAAA,blca_k0_wi0.25_leak0.2_beta0,A,0.75,0.5,5,4,6,2,6,0.75,1.0
BBAAAAAA,blca_k0_wi0.06_leak0_beta0.1,N,,,,4,6,2,6,0.75,1.0
BBAAAAAA,likelihood_ratio,N,,,,4,6,2,6,0.75,1.0
BBAAAAAA,blca_k0_wi0.125_leak0_beta0.1,N,,,,4,6,2,6,0.75,1.0
BBAAAAAA,naive,B,0.75,0,1,4,6,2,6,0.75,1.0
BBAAAAAA,blca_k0_wi0.06_leak0.2_beta0.1,N,,,,4,6,2,6,0.75,1.0
BBAAAAAA,blca_k0_wi0.25_leak0_beta0.1,A,0.81909504975,0.299739747525,6,4,6,2,6,0.75,1.0
BBAAAAAA,blca_k0_wi0.06_leak0.2_beta0,N,,,,4,6,2,6,0.75,1.0
BBAAAAAA,lba_k0_d0.25,A,0.75,0.5,5,4,6,2,6,0.75,1.0
BBAAAAAA,snr_meandefault,A,1.44337567297,0.25,4,4,6,2,6,0.75,1.0
BBAAAAAA,snr,A,1.44337567297,0.0,4,4,6,2,6,0.75,1.0
BBAAAAAA,blca_k0_wi0.25_leak0.2_beta0.1,A,0.81909504975,0.299739747525,6,4,6,2,6,0.75,1.0
BBAAAAAA,lba_k0_d0.06,N,,,,4,6,2,6,0.75,1.0
BBAAAAAA,relcount,B,0.666666666667,0.333333333333,3,4,6,2,6,0.75,1.0
